AT,V,AP,RH,Temp_Press_Ratio,Voltage_Temp,Humidity_Factor,Power_Est,Turbine_Failure
19.64,48.06,1014.81,74.96,19.353376494122053,943.8984,36.025776,957.877535304,0
28.26,69.23,1013.01,42.1,27.897059259039892,1956.4398000000003,29.145830000000004,1981.8930817980004,0
27.98,67.17,1007.32,75.29,27.776674740896638,1879.4166,50.572293,1893.173929512,0
28.64,69.23,1013.11,37.13,28.269388319136127,1982.7472000000002,25.705099000000004,2008.741015792,0
9.34,38.08,1019.56,67.74,9.160814468986622,355.6672,25.795392,362.624050432,0
25.5,68.08,1011.13,72.86,25.219309089830187,1736.04,49.603088,1755.3621252,0
21.96,59.8,1016.72,72.6,21.59886694468487,1313.208,43.4148,1335.1648377600002,0
27.17,73.5,1010.36,73.29,26.891405043746786,1996.9950000000001,53.86815000000001,2017.6838682,0
25.96,71.64,1003.84,86.83,25.86069493146318,1859.7744,62.205011999999996,1866.9159336960001,0
10.38,40.92,1021.53,95.18,10.161228745117619,424.74960000000004,38.947656,433.8944588880001,0
18.68,59.14,1016.96,77.09,18.368470736312144,1104.7352,45.591026,1123.4715089920003,0
21.16,78.11,1006.73,78.11,21.018545190865474,1652.8076,61.011721,1663.9309951480002,0
12.86,40.6,1013.6,84.85,12.687450670876084,522.116,34.4491,529.2167776,0
28.92,66.51,1015.5,34.51,28.47858197932053,1923.4692000000002,22.952600999999998,1953.2829726000004,0
19.14,56.65,1020.84,82.97,18.74926531092042,1084.281,47.002505,1106.8774160399998,0
14.02,44.47,1028.02,68.97,13.637866967568725,623.4694,30.670959,640.9390125879999,0
7.67,42.85,1012.02,93.35,7.578901602735124,328.6595,40.000475,332.60998718999997,0
21.11,65.94,1009.83,71.91,20.904508679678756,1391.9933999999998,47.417454,1405.676695122,0
14.33,38.73,1003.52,85.92,14.279735331632654,555.0009,33.276816,556.954503168,0
28.33,68.27,1008.09,50.37,28.102649565018996,1934.0890999999997,34.387598999999994,1949.7358808189995,0
9.63,41.14,1027.99,87.89,9.367795406570105,396.17820000000006,36.157946,407.26722781800004,1
32.84,77.95,1014.68,45.8,32.36488351007215,2559.878,35.7011,2597.4570090400002,0
32.96,69.75,1008.86,40.23,32.67053902424519,2298.96,28.060425,2319.3287856,0
17.48,40.89,1011.39,62.45,17.28314497869269,714.7572,25.535805000000003,722.8982845080001,0
19.39,51.43,1011.06,94.35,19.1778925088521,997.2277,48.524204999999995,1008.2570383619999,0
13.62,42.34,1017.87,89.67,13.380883609891242,576.6708,37.966278,586.975907196,0
26.35,59.44,1012.16,63.73,26.033433449257036,1566.244,37.881111999999995,1585.28952704,0
27.34,71.64,1008.12,72.22,27.11978732690553,1958.6376,51.738408,1974.541737312,0
14.3,53.82,1016.64,63.9,14.065942713251497,769.6260000000001,34.39098,782.4325766400001,0
14.72,41.23,997.91,82.69,14.750829233097175,606.9055999999999,34.093087,605.6371672959999,1
19.21,60.07,1014.94,70.02,18.927227225254697,1153.9447,42.06101399999999,1171.184633818,0
21.45,69.94,1010.5,82.17,21.227115289460663,1500.213,57.469697999999994,1515.9652365,0
10.72,45.0,1023.22,86.95,10.476730321924904,482.40000000000003,39.127500000000005,493.601328,0
15.27,39.54,1010.64,81.91,15.10923771075754,603.7758,32.387214,610.199974512,0
20.0,56.53,1020.43,75.94,19.599580568975824,1130.6,42.928882,1153.698158,0
29.85,71.58,1010.04,58.66,29.553285018415114,2136.663,41.988828,2158.11509652,0
20.11,51.19,1007.82,92.06,19.953960032545492,1029.4308999999998,47.125513999999995,1037.481049638,0
13.72,54.3,1017.89,79.08,13.478863138453075,744.996,42.940439999999995,758.3239784399999,0
19.04,43.43,1009.25,68.74,18.865494178845676,826.9072,29.853781999999995,834.5560916,0
7.8,43.65,1018.92,60.77,7.6551642916028735,340.46999999999997,26.526105,346.9116924,0
10.91,40.1,1014.07,91.45,10.75862613034603,437.49100000000004,36.67145,443.6464983700001,0
27.2,59.74,1011.99,56.74,26.877735946007373,1624.928,33.896476,1644.41088672,0
29.08,66.54,1004.67,64.5,28.944827654851842,1934.9832000000001,42.9183,1944.019571544,0
30.59,70.04,1010.28,50.56,30.27873460822742,2142.5236,35.41222400000001,2164.5487426080003,0
12.59,39.18,1024.18,67.57,12.29276103809877,493.2762,26.473926,505.20361851600006,0
14.47,48.14,1017.28,87.36,14.224205725070778,696.5858000000001,42.055104,708.6228026240001,0
28.13,56.9,1007.17,51.66,27.929743737402823,1600.597,29.394539999999996,1612.07328049,0
28.08,59.14,1016.16,58.08,27.633443552196503,1660.6512,34.348512,1687.487323392,0
26.88,61.5,1009.17,61.26,26.63575017093255,1653.12,37.6749,1668.2791103999998,0
9.75,43.69,1016.81,82.42,9.588812069118124,425.97749999999996,36.009298,433.13818177499996,0
5.7,40.62,1016.07,84.94,5.609849715078686,231.534,34.502627999999994,235.25475138,1
9.1,39.42,1025.28,68.78,8.875624219725344,358.722,27.113076,367.79049216,1
22.56,70.79,1005.85,93.09,22.428791569319475,1597.0224,65.89841100000001,1606.3649810400002,0
6.67,36.08,1022.31,83.51,6.524439749195449,240.65359999999998,30.130408,246.02258181599998,1
20.04,49.39,1020.62,78.84,19.635123748309848,989.7755999999999,38.939076,1010.184772872,0
12.24,41.62,1013.38,90.26,12.078391126724428,509.42879999999997,37.566212,516.2449573439999,0
6.72,39.85,1011.84,84.66,6.641366223908918,267.792,33.737010000000005,270.96265728,1
30.74,69.59,1008.69,68.04,30.47517076604308,2139.1966,47.34903600000001,2157.7862184540004,0
30.06,67.25,1017.63,53.59,29.539223489873528,2021.5349999999999,36.039275,2057.17466205,0
5.47,38.68,1017.33,72.71,5.376819714350309,211.5796,28.124228,215.24627446800002,1
21.35,58.16,1017.21,67.66,20.988783043815932,1241.7160000000001,39.351056,1263.08593236,0
24.4,60.32,1016.5,70.96,24.003935071323166,1471.808,42.80307199999999,1496.092832,0
25.87,47.01,1014.67,61.87,25.495974060532,1216.1487,29.085087,1233.989601429,0
21.5,61.5,1008.43,78.13,21.320270122864255,1322.25,48.04995,1333.3965675,0
23.49,42.8,1013.96,65.31,23.166594342972108,1005.3719999999998,27.952679999999997,1019.4069931199998,0
25.64,47.01,1014.81,62.29,25.26581330495364,1205.3364,29.282529,1223.187432084,0
31.04,68.31,1010.54,42.74,30.7162507174382,2120.3424,29.195694,2142.690808896,0
13.53,38.73,1004.86,85.38,13.464562227573989,524.0169,33.067674,526.563622134,1
34.35,77.17,1009.26,59.33,34.034837405623925,2650.7895000000003,45.784960999999996,2675.3358107700005,0
19.02,50.66,1013.04,85.25,18.775171760246387,963.5532,43.18765,976.1179337279999,0
24.77,69.71,1009.86,85.56,24.528152417166737,1726.7166999999997,59.643876,1743.7421266619997,0
27.3,65.12,1016.24,44.87,26.863732976462252,1777.776,29.219344,1806.6470822400001,0
